,Reserva vaga,Num Seq deste Período Letivo,Periodos Cursados,Data Última Alteração Matrícula,Nível de Ensino,Previsão de Término (Letivo),Tipo_Escola_Origem,Fluxo Escolar - Label,Dt Ref Início Matrícula,Idade (Hoje),Matrícula retida?,Cód. da Matriz,Etnia,Periodo Letivo (Num),Última Alteração de Situação,CH. Disc. Obrigatórias,Dt Ref Início Período Letivo,Forma de Oferta (grupo),Ingressantes em  (Ano Letivo),Modalidade do Curso,Estado Aluno,Cód. do Curso,Data Início Período,Forma de Ingresso,Faixa Etária,Sexo,Data Final Período,Ingressantes em (Período Letivo),Duracao curso,CH. Disc. Optativas,Tipo de Modalidade,Tipo de Modalidade (grupo),Estrutura Etária,CH,Campus (Nome),É matrícula retida neste período letivo?,Cidade Aluno
3,Ampla Concorrência,1,2,2018-11-09 00:00:00,Técnico,2018/1,E,Formados,2017-01-07 00:00:00,23,Fora do prazo,7083,Parda,20172,2018-11-09 00:00:00,800,2017-01-07 00:00:00,Subsequente,2017,Subsequente,CE,11204,2017-11-16 00:00:00,Seleção Técnico,20 a 24 anos,M,2018-06-04 00:00:00,20172,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Marco
26,Ampla Concorrência,1,2,2018-05-16 00:00:00,Técnico,2017/2,E,Formados,2017-01-01 00:00:00,21,Dentro do prazo,7083,Branca,20171,2018-05-16 00:00:00,800,2017-01-01 00:00:00,Subsequente,2017,Subsequente,CE,11204,2017-05-15 00:00:00,Seleção Técnico,20 a 24 anos,F,2017-11-16 00:00:00,20171,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
58,Ampla Concorrência,1,2,2018-05-16 00:00:00,Técnico,2017/2,E,Formados,2017-01-01 00:00:00,21,Dentro do prazo,7083,Parda,20171,2018-05-16 00:00:00,800,2017-01-01 00:00:00,Subsequente,2017,Subsequente,CE,11204,2017-05-15 00:00:00,Seleção Técnico,20 a 24 anos,F,2017-11-16 00:00:00,20171,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
60,Ampla Concorrência,1,2,2019-05-09 00:00:00,Técnico,2018/2,E,Formados,2018-01-01 00:00:00,35,Dentro do prazo,5929,Preta,20182,2019-05-09 00:00:00,800,2018-01-07 00:00:00,Subsequente,2018,Subsequente,CE,11203,2018-11-26 00:00:00,Seleção Técnico,35 a 39 anos,F,2019-05-22 00:00:00,20181,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
62,Ampla Concorrência,1,2,2017-04-19 00:00:00,Técnico,2016/2,E,Formados,2016-01-01 00:00:00,26,Dentro do prazo,5929,Branca,20162,2017-04-19 00:00:00,800,2016-01-07 00:00:00,Subsequente,2016,Subsequente,CE,11203,2016-11-16 00:00:00,Seleção Técnico,25 a 29 anos,M,2017-05-15 00:00:00,20161,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
72,Não possui,1,1,2016-10-18 00:00:00,Básico,2016/2,E,Formados,2016-01-01 00:00:00,22,Dentro do prazo,7275,Não dispõe da informação,20161,2016-10-18 00:00:00,160,2016-01-01 00:00:00,Fic,2016,Fic,CE,111022,2016-07-11 00:00:00,Seleção Extensão,20 a 24 anos,F,2016-11-23 00:00:00,20161,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
76,Ampla Concorrência,1,2,2019-10-18 00:00:00,Técnico,2019/1,E,Formados,2018-01-07 00:00:00,24,Fora do prazo,7083,Branca,20182,2019-10-18 00:00:00,800,2018-01-07 00:00:00,Subsequente,2018,Subsequente,CE,11204,2018-11-26 00:00:00,Seleção Técnico,20 a 24 anos,F,2019-05-22 00:00:00,20182,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
123,Não possui,1,1,2018-05-16 00:00:00,Básico,2018/1,E,Formados,2017-01-07 00:00:00,36,Dentro do prazo,7275,Branca,20172,2018-05-16 00:00:00,160,2017-01-07 00:00:00,Fic,2017,Fic,CE,111022,2017-11-16 00:00:00,Seleção Extensão,35 a 39 anos,F,2018-11-26 00:00:00,20172,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
127,"L1 Esc Publica, Renda<1.5sm",3,2,2019-10-18 00:00:00,Técnico,2019/1,E,Formados,2018-01-07 00:00:00,25,Fora do prazo,7083,Parda,20191,2019-10-18 00:00:00,800,2019-01-01 00:00:00,Subsequente,2018,Subsequente,CE,11204,2019-05-22 00:00:00,Seleção Técnico,25 a 29 anos,F,2019-10-31 00:00:00,20182,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Retida,Cruz
128,Não possui,1,1,2016-10-18 00:00:00,Básico,2016/2,E,Formados,2016-01-01 00:00:00,27,Dentro do prazo,7274,Branca,20161,2016-10-18 00:00:00,160,2016-01-01 00:00:00,Fic,2016,Fic,CE,111021,2016-07-11 00:00:00,Seleção Extensão,25 a 29 anos,M,2016-11-23 00:00:00,20161,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
130,Ampla Concorrência,5,6,2019-05-09 00:00:00,Técnico,2017/2,E,Formados,2016-01-01 00:00:00,23,Fora do prazo,4928,Parda,20182,2019-05-09 00:00:00,1480,2018-01-07 00:00:00,Subsequente,2016,Subsequente,CE,11202,2018-11-26 00:00:00,Seleção Técnico,20 a 24 anos,M,2019-05-22 00:00:00,20161,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1480,Acaraú,Retida,Acaraú
132,Ampla Concorrência,1,1,2016-05-27 00:00:00,Básico,2015/2,E,Formados,2015-01-07 00:00:00,27,Dentro do prazo,6352,Parda,20152,2016-05-27 00:00:00,60,2015-01-07 00:00:00,Fic,2015,Fic,CE,111019,2016-02-03 00:00:00,Seleção Extensão,25 a 29 anos,F,2016-05-27 00:00:00,20152,1,0,Regular,Regular,Adulto (20 a 59 anos),60,Acaraú,Não Retida,Acaraú
145,Ampla Concorrência,3,2,2017-11-01 00:00:00,Técnico,2017/1,E,Formados,2016-01-07 00:00:00,22,Fora do prazo,7083,Parda,20171,2017-11-01 00:00:00,800,2017-01-01 00:00:00,Subsequente,2016,Subsequente,CE,11204,2017-05-15 00:00:00,Seleção Técnico,20 a 24 anos,F,2017-11-16 00:00:00,20162,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Retida,Itarema
176,Ampla Concorrência,1,2,2017-04-19 00:00:00,Técnico,2016/2,E,Formados,2016-01-01 00:00:00,25,Dentro do prazo,7083,Não dispõe da informação,20162,2017-04-19 00:00:00,800,2016-01-07 00:00:00,Subsequente,2016,Subsequente,CE,11204,2016-11-16 00:00:00,Seleção Técnico,25 a 29 anos,M,2017-05-15 00:00:00,20161,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
184,"L1 Esc Publica, Renda<1.5sm",1,2,2019-10-18 00:00:00,Técnico,2019/1,E,Formados,2018-01-07 00:00:00,19,Fora do prazo,5929,Branca,20182,2019-10-18 00:00:00,800,2018-01-07 00:00:00,Subsequente,2018,Subsequente,CE,11203,2018-11-26 00:00:00,Seleção Técnico,15 a 19 anos,F,2019-05-22 00:00:00,20182,2,0,Educação Profissional,Educação Profissional,Jovem (<= 19 anos),800,Acaraú,Não Retida,Acaraú
185,Não possui,1,2,2019-05-09 00:00:00,Básico,2018/2,P,Formados,2018-01-01 00:00:00,24,Dentro do prazo,7276,Não dispõe da informação,20182,2019-05-09 00:00:00,160,2018-01-07 00:00:00,Fic,2018,Fic,CE,111023,2018-11-26 00:00:00,Seleção Extensão,20 a 24 anos,F,2019-05-22 00:00:00,20181,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
188,"L2 Esc Publica, Renda<1.5sm, Raca",7,8,2019-06-05 00:00:00,Graduação,2018/2,E,Formados,2015-01-01 00:00:00,23,Dentro do prazo,4496,Parda,20182,2019-06-05 00:00:00,3260,2018-01-07 00:00:00,Licenciatura,2015,Licenciatura,CE,11401,2018-11-26 00:00:00,Sisu,20 a 24 anos,M,2019-05-22 00:00:00,20151,8,0,Regular,Regular,Adulto (20 a 59 anos),3260,Acaraú,Não Retida,Jijoca de Jericoacoara
191,Não possui,1,2,2019-10-18 00:00:00,Básico,2019/1,E,Formados,2018-01-07 00:00:00,24,Fora do prazo,7275,Parda,20182,2019-10-18 00:00:00,160,2018-01-07 00:00:00,Fic,2018,Fic,CE,111022,2018-11-26 00:00:00,Seleção Extensão,20 a 24 anos,M,2019-05-22 00:00:00,20182,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
203,"L1 Esc Publica, Renda<1.5sm",9,9,2019-11-20 00:00:00,Graduação,2018/2,E,Formados,2015-01-01 00:00:00,23,Fora do prazo,4496,Branca,20191,2019-11-20 00:00:00,3260,2019-01-01 00:00:00,Licenciatura,2015,Licenciatura,CE,11401,2019-05-22 00:00:00,Sisu,20 a 24 anos,F,2019-10-31 00:00:00,20151,8,0,Regular,Regular,Adulto (20 a 59 anos),3260,Acaraú,Retida,Marco
213,Não possui,1,1,2016-10-18 00:00:00,Básico,2016/2,E,Formados,2016-01-01 00:00:00,22,Dentro do prazo,7274,Parda,20161,2016-10-18 00:00:00,160,2016-01-01 00:00:00,Fic,2016,Fic,CE,111021,2016-07-11 00:00:00,Seleção Extensão,20 a 24 anos,F,2016-11-23 00:00:00,20161,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
221,Ampla Concorrência,1,2,2019-05-09 00:00:00,Técnico,2018/2,E,Formados,2018-01-01 00:00:00,20,Dentro do prazo,5929,Parda,20181,2019-05-09 00:00:00,800,2018-01-01 00:00:00,Subsequente,2018,Subsequente,CE,11203,2018-06-04 00:00:00,Seleção Técnico,20 a 24 anos,F,2018-11-26 00:00:00,20181,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
234,Ampla Concorrência,1,1,2016-05-27 00:00:00,Básico,2016/1,P,Formados,2015-01-07 00:00:00,31,Dentro do prazo,7274,Branca,20152,2016-05-27 00:00:00,160,2015-01-07 00:00:00,Fic,2015,Fic,CE,111021,2016-02-03 00:00:00,Seleção Extensão,30 a 34 anos,M,2016-07-11 00:00:00,20152,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
